//X Y Z R G B
50248
-1.09943116 -3.27638936 -5.06027985 0 0 148
-1.10950506 -5.73368788 -5.0513916 0 0 120
-0.7877332 -4.38246012 -5.05398703 0 0 141
0.93832725 -4.84030628 -5.05417156 0 0 181
-1.08057523 -3.24275327 -5.05879688 87 0 0
-1.26887417 -3.91968107 -5.06259394 0 0 129
-1.20156682 -5.76243973 -5.05118656 0 0 125
-1.45644403 -1.05118537 -5.06498575 91 0 0
-1.30812156 -4.84904671 -5.0548501 0 0 140
-0.58164001 -0.90040469 -5.06486034 0 0 150
-1.28046083 -3.97065592 -5.05579281 91 0 0
-0.6008479 -0.94136959 -5.06433058 0 0 150
-0.68724793 -3.23211336 -5.05596638 96 0 0
-1.23376775 -3.97368932 -5.05721426 111 0 0
-1.2775135 -4.86238861 -5.05272627 0 0 113
-1.58136702 -1.19264305 -5.05865192 128 0 0
-1.63722301 -4.06738853 -5.05815315 0 0 126
-0.54180259 -0.89463735 -5.06720638 0 0 150
-0.66162431 -3.3001318 -5.05872965 74 0 0
-1.15441799 -4.50272989 -5.0568738 0 0 149
-1.6407212 -4.08977365 -5.05841875 0 0 125
-1.13457906 -3.3622551 -5.06189108 0 0 118
-0.54943126 -1.35564911 -5.06314611 0 0 97
-1.12615776 -4.50831509 -5.05684185 0 0 156
-1.59803545 -4.04629755 -5.053792 0 0 97
-0.51166695 -1.09403026 -5.06343603 0 0 139
-1.62676477 -1.34066272 -5.0657115 0 0 131
-1.5459621 -4.16936588 -5.05114603 90 0 0
-0.59639406 -3.30680966 -5.05933475 0 0 134
-1.5958451 -4.15316248 -5.05555677 0 0 146
-0.55678624 -3.33175588 -5.05939913 0 0 147
-1.06580698 -4.5100069 -5.05661011 0 0 155
-1.16724777 -3.52988505 -5.05889702 0 0 94
-0.7121675 -4.60582829 -5.05564213 0 0 145
-1.14696932 -3.56209517 -5.05733013 0 0 124
-1.15052056 -3.58054495 -5.05865526 0 0 138
-1.00725758 -4.57066679 -5.05595064 0 0 138
-1.47315145 -4.10537624 -5.05593634 0 0 89
-0.75338256 -4.69358635 -5.0582962 0 0 126
-1.07261908 -3.40471101 -5.05870771 152 0 0
-0.6654911 -3.36774087 -5.05994081 0 0 154
-0.66386807 -3.34651899 -5.06116247 0 0 155
-1.08625841 -3.39583325 -5.05939817 69 0 0
-1.09430277 -4.63971186 -5.05717278 0 0 117
-1.55452847 -4.23543453 -5.05423021 0 0 115
-1.4638139 -4.17634153 -5.0566926 124 0 0
-1.04662812 -3.4889214 -5.0598073 0 65 0
-1.62348437 -4.26911545 -5.05498171 0 0 147
-0.76073688 -3.57641363 -5.0564127 154 0 0
-1.35925663 -0.9297756 -5.06309319 117 0 0
-0.67363197 -3.52488852 -5.05963326 0 0 121
-1.30302668 -0.88423884 -5.07119226 0 0 127
-0.99015522 -3.53140426 -5.05577374 93 0 0
-1.64542663 -4.34829283 -5.05644369 0 0 140
-1.00314522 -3.592417 -5.05985355 0 0 132
-0.96217734 -3.25074673 -5.06202936 0 0 103
-1.64882064 -4.38368845 -5.05628872 0 0 132
-0.66831565 -3.58729148 -5.059237 0 0 143
-0.65717143 -4.90255737 -5.05493021 0 0 129
-1.57575762 -4.39588785 -5.05440378 0 0 134
-1.08991289 -4.93669939 -5.054708 0 0 126
-1.5101012 -4.37644911 -5.05576563 0 0 129
-1.23919249 -0.93678063 -5.067451 0 0 125
-0.62615484 -3.51619792 -5.05712986 0 0 145
-0.61523187 -4.76560831 -5.05436563 0 0 139
